country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,,,,,,21.7,,,,,,,,
Argentina,,,,,,16.7,,,,,17.5,,,23.4,,,,,,
Armenia,,,,,24,,,,21.7,,,,,,,,,,,
Australia,,,,,,,20.8,,,,,,,,,,,,,
Austria,,,,,,,,,,19.1,,,,,,,,,,
Azerbaijan,,,,,,,,,25.4,,,,,,,,,,,
Belgium,16,,,,,15,,,,,,,,15.9,,,,,,
Bulgaria,,,20.9,,,,,,,,18.5,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,19.2,,,,
Bolivia,,23.1,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,17.6,,,13.2,,,,,11.6,,
Bhutan,,,,,,,,13.3,,,,,,,,15,,,,
Canada,,,,,,16.3,,,,,16.3,,,,,,14.6,,,
Switzerland,18.1,,,,18.1,,,17.9,,,16.7,,,16.5,,,16.8,,,
Chile,,,,,,,,,15.9,,,,,,,22.1,,,,
China,,,,,,,,,16.2,,,,,,,,,,15.3,
Cameroon,,,,,,,,,,,,,,,15.8,,,,,
Colombia,,,,,,,,,,,,,,17.5,,,,5.02,,
Costa Rica,,,,,,,,,,,,,,,,,,22.1,,
Cuba,,16.3,,,,,,,,,,,,,,,21,,,
Germany,,,17.7,,,,,,,,,,,16.4,,,,,,
Denmark,,14.6,,,,,,,,15.6,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,16.7,,,
Algeria,,,,,,,,,,,,,21.7,,,,,,,
Ecuador,,,,,,,,,,,,,19.7,,,,,,,
Egypt,,,,,,,,,,,,,,,,22.4,,,,
Spain,,,,20.5,,,,,,,19,,,,,,,,,
Estonia,19.9,,,,,,,,,,17.2,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,19.3,,,,,,
Finland,15.8,,,,,,,,,,15.2,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,15.2,,,
France,,,,,,,,,,,15.8,,,,,,,,,
UK,,14.8,,,,,,,,,,,,,,12.7,,,,
Ghana,,,,,,,,,,15.5,,,,,,,,,,
Greece,,,,,,,,,,,,,,,18.1,,,,,
Guatemala,,,,,,,,,,,,,,,17.8,,,19.5,,
Hong Kong, China,,,13.8,,,,,,,,,,,10.8,,,,,,
Honduras,,,,,,,,,,17.3,,,,,,,,,,
Hungary,19.5,,,,,,,,,,17.3,,,,,,,,,
Ireland,,,,,,20.6,,,,,,,,,,,,,,
Iran,,,,,,,,,,21,,,,,,,,,,
Iraq,,,,,,,,24.1,,,,,,,,,,,,
Italy,,,,21.9,,,,,,21.1,,,,,20.4,,,,,
Japan,,15.6,,,,,15.6,,,,,15.6,,,,,15.1,,,
Kazakhstan,27.7,,,28.5,,,26.1,,,,,,17.1,,,,,,19,
Kyrgyz Republic,27.7,,,,,23.8,,,,,18.8,,,,,16.8,,,,
Cambodia,,,,,12.5,,,,,,,,,,,,,,,
South Korea,,,,,14.6,,,,,14.4,,,,,14.6,,,,,14.1
Lao,,,,10,,,,,10.4,,,,,10.4,,,,13.6,,
Liberia,,,,,,,,,,,6.29,,,,,,,,,
Lesotho,,,,15.6,,,,,,,,,,,,,,,,
Lithuania,,,,18.7,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,14.4,,,,,
Latvia,,,,18.3,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,20.8,,,,,,,
Moldova,,,,,,,,,,,,,20.1,,,,,,,
Mexico,,,29.1,,,,,,,31,,,,,29.5,,,,,27.8
North Macedonia,,,,,23.8,,,,,19.5,,,,,,15.4,,,,
Malta,,,18.8,,,,,,,,,,,,,,,,,
Mongolia,20.1,,,,,,,19.8,,,,19.9,,,,17.6,,,,19.3
Mauritius,,,,19,,,,,,,,,,,,,,,,
Malawi,,,,,,8.68,,,,,,,,,,,,,,
Malaysia,,,,19.1,,,,,,,,,,,,,,,,
Netherlands,,15,,15.1,,,16.9,,,,,,14.7,,,,,,,
Norway,,16.4,,,,,,,,,,15.3,,,,,,,,
New Zealand,,,,,,,,,,,18.1,,,,,,,,,
Oman,20.6,,,,,,,,18.9,,,,,,,,,,,
Pakistan,,,,,,,,19.9,,,,,,,,,,,,
Panama,,,,,,,,,,,,18,,,,,,,,
Peru,,,,,,,,,,,23.6,,,,,,,,,
Poland,,,,,19.8,,,,,,,,,18.3,,,,,,
Portugal,,,,,,,,,,,,,,,,17.8,,,,
Paraguay,,,,,,,,,,,,,,,,,14.5,,,
Palestine,23.1,,,,,,,,,,,,,20.1,,,,,,
Qatar,,,,,,,,,,,,,,8.19,,,,,,
Romania,20.8,,,,,,,,,,,,19,,,,,,,
Russia,,,,,,,,,,,,,,,18.4,,,,,
El Salvador,,,,,,,,,,,22.7,,,,,,,20.2,,
Serbia,,,,,,,,,,,,20.2,,,,19.2,,,,
Slovenia,,20.6,,,,,,,,,,,,,,,,,,
Sweden,,17.7,,,,,,,,,,16,,,,,,,,
Thailand,,,,,,,,,,12.8,,,,,,11.8,,,,
Tunisia,,,,,,,21.9,,,,,,,,,,,,,
Turkey,,,,,,,22,,,,,,,,,19.2,,,,
Tanzania,,,,,,,17.1,,,,,,,,16.5,,,,,
Uganda,,,,,,,,,,,,,,,,,,,14.6,
Uruguay,,,,,,,,25.2,,,,,,19.9,,,,,,
USA,,,,16.5,16.6,16.5,16.3,16.1,15.6,15.9,15.3,15.2,15.3,15.6,15.5,15.9,15.9,15.4,15.4,15.3
